	1	3	17	22	39	54	56	5	11	29	40	24	36	13	38	19	2	6	9	10	14	18	28	20	31	25	43	23	37	33	4	7	15	21	32	8	16	26	34	12	max_id	max_norm	cohort
C3L.00080	True	True	False				False																																		11	0.17015922	LUAD
C3N.00217	True	True	False				False																																		11	0.21475807	LUAD
C3N.01180	True	True	False				False																																		32	0.1787759	CCRCC
C3L.00006.T	True	True	False				False																																		8	0.14931029	UCEC
C3L.00026	True	True	False				False																																		32	0.16143957	CCRCC
C3L.03678	True	True	False				False																																		20	0.21233566	LSCC
C3N.02284	True	True	False				False																																		12	0.15104061	LSCC
C26OV009	True	True	False				False																																		20	0.16589113	OV
C3L.00993	True	True	False				False																																		20	0.20112412	LSCC
C3L.00008.T	True	True	False				False																																		20	0.18130942	UCEC
C3L.00601.T	True	True	False				False																																		20	0.23200276	UCEC
C3N.01211.T	True	True	False				False																																		28	0.16031563	UCEC
C3N.03876	True	True	False				False																																		20	0.21155964	HNSCC
C3L.01040	True	True	False				True																																		20	0.2501328	GBM
C3N.00743.T	True	True	False				True																																		20	0.21008843	UCEC
C09CO005	True	True	False				True																																		28	0.20790407	COAD
C3L.01155	True	True	False				True																																		28	0.22595514	GBM
C3L.01327	True	True	False				True																																		20	0.30241573	GBM
C3L.03405	True	True	False				True																																		20	0.29174203	GBM
C3N.01852	True	True	False				True																																		20	0.27630407	GBM
MB277_GR3	True	True	False				True																																		28	0.17354967	MEDUL
C3N.03473	True	True	False				True																																		20	0.26840276	GBM
MB099_GR4	True	True	False				True																																		20	0.23294409	MEDUL
C3L.01048	True	True	False				True																																		20	0.32257912	GBM
C3L.01154	True	True	False				True																																		20	0.26359454	GBM
C3L.02708	True	True	False				True																																		20	0.3170573	GBM
MB164_GR3	True	True	False				True																																		20	0.21719597	MEDUL
MB271_GR3	True	True	False				True																																		20	0.2665275	MEDUL
C3L.00137.T	True	True	False				True																																		20	0.2977239	UCEC
C3L.04084	True	True	False				True																																		20	0.41900712	GBM
C3N.00662	True	True	False				True																																		20	0.32939732	GBM
C3L.01149	True	True	False				True																																		20	0.32668206	GBM
C3L.02542	True	True	False				True																																		20	0.40698496	GBM
C3L.03390	True	True	False				True																																		20	0.44255581	GBM
C3L.01061	True	True	False				True																																		20	0.43963194	GBM
C3N.03184	True	True	False				True																																		20	0.43624625	GBM
C3L.02707	True	True	False				True																																		20	0.33208126	GBM
C3N.03070	True	True	False				True																																		20	0.35681692	GBM
C3N.02185	True	True	False				True																																		20	0.16838172	GBM
C3L.00104	True	True	False				True																																		32	0.11453053	GBM
C3L.02504	True	True	False				True																																		20	0.13903765	GBM
C3L.00365	True	True	False				True																																		25	0.16739734	GBM
MB247_GR3	True	True	False				True																																		25	0.16884564	MEDUL
MB248_GR3	True	True	False				True																																		25	0.20115629	MEDUL
C3N.01196	True	True	False				True																																		20	0.28987685	GBM
MB106_GR3	True	True	False				True																																		20	0.26619777	MEDUL
C3N.01517	True	True	False				True																																		20	0.31221643	GBM
C3N.02782	True	True	False				True																																		20	0.28830028	GBM
C26OV008	True	True	True	False																																					13	0.1507538	OV
C20OV005	True	True	True	False																																					13	0.24994758	OV
C04OV011	True	True	True	False																																					13	0.22883087	OV
C04OV017	True	True	True	False																																					13	0.2598642	OV
X11BR013	True	True	True	False																																					13	0.38108397	BRCA
X01BR023	True	True	True	False																																					13	0.36300588	BRCA
X11BR015	True	True	True	False																																					13	0.36371076	BRCA
