Source	Relation	Target	Sites	Source data ID	Source change	 Source change pval	Target data ID	Target change	Target change pval
MYCN	upregulates-expression	BIRC5		MYCN-active-by-network-sig	1.0		BIRC5-G	8.875180422904895	1.398164002372E-4
E2F2	upregulates-expression	EZH2		E2F2-active-by-network-sig	1.0		EZH2-G	6.301023139082408	0.001834426942651
E2F2	downregulates-expression	PLAU		E2F2-active-by-network-sig	1.0		PLAU-G	-6.150674692458759	0.0021320428114584
ITGAV	upregulates-expression	ILK		ITGAV-G	-12.003520855414855	6.12261750846544E-6	ILK-G	-6.067326567923387	0.0023173602418168
GATA3	upregulates-expression	ZEB1		GATA3-G	-7.33627350122468	6.514737191339E-4	ZEB1-G	-5.712575348043513	0.0033041522362319
MYCN	upregulates-expression	MCM7		MYCN-active-by-network-sig	1.0		MCM7-G	4.138179711343144	0.0159518620862962
E2F2	upregulates-expression	EED		E2F2-active-by-network-sig	1.0		EED-G	4.115731305072287	0.0163140055309602
PTMA	upregulates-expression	IDO1		PTMA-G	4.138179711343144	0.0159518620862962	IDO1-G	3.9670580254865806	0.0189290400513735
CEBPZ	downregulates-expression	COL11A1		CEBPZ-G	3.870196802212975	0.0208542648558602	COL11A1-G	-12.003520855414855	6.12261750846544E-6
MYCN	upregulates-expression	MCM3		MYCN-active-by-network-sig	1.0		MCM3-G	3.8385513666204694	0.0215247602569156
E2F2	upregulates-expression	MCM3		E2F2-active-by-network-sig	1.0		MCM3-G	3.8385513666204694	0.0215247602569156
MYCN	upregulates-expression	MCM5		MYCN-active-by-network-sig	1.0		MCM5-G	3.7068031526109215	0.0245558993895094
STAT1	downregulates-expression	GATA3		STAT1-G	3.6600718432493626	0.0257306640854384	GATA3-G	-7.33627350122468	6.514737191339E-4
MYCN	upregulates-expression	MCM8		MYCN-active-by-network-sig	1.0		MCM8-G	3.6583234067801356	0.0257756918695418
RBBP4	upregulates-expression	PLK1		RBBP4-G	6.731594554684966	0.0011926297278221	PLK1-G	3.623436365694551	0.0266907993740316
MAX	upregulates-expression	PTMA		MAX-G	3.57522498243904	0.028009123504377	PTMA-G	4.138179711343144	0.0159518620862962
MAX	upregulates-expression	RIOX2		MAX-G	3.57522498243904	0.028009123504377	RIOX2-G	4.2208628915436	0.0146859666394542
MAX	downregulates-expression	PDGFRB		MAX-G	3.57522498243904	0.028009123504377	PDGFRB-G	-9.217794401515743	9.9257368283958E-5
MAX	downregulates-expression	WNT5A		MAX-G	3.57522498243904	0.028009123504377	WNT5A-G	-4.270732013999426	0.01397155203745
MAX	downregulates-expression	COL1A2		MAX-G	3.57522498243904	0.028009123504377	COL1A2-G	-4.7897705441626535	0.0083143649426342
MAX	downregulates-expression	LGALS1		MAX-G	3.57522498243904	0.028009123504377	LGALS1-G	-7.444062921965284	5.849039443157E-4
MAX	upregulates-expression	DDX18		MAX-G	3.57522498243904	0.028009123504377	DDX18-G	4.66403482505858	0.0094283438345843
MAX	downregulates-expression	SFXN3		MAX-G	3.57522498243904	0.028009123504377	SFXN3-G	-7.704642430936243	4.507298361248E-4
MAX	upregulates-expression	BIRC5		MAX-G	3.57522498243904	0.028009123504377	BIRC5-G	8.875180422904895	1.398164002372E-4
MYCN	upregulates-expression	MCM6		MYCN-active-by-network-sig	1.0		MCM6-G	3.5307307829432073	0.0292835081575202
MYCN	upregulates-expression	MCM2		MYCN-active-by-network-sig	1.0		MCM2-G	3.494353457238568	0.0303683765447643
