Source	Relation	Target	Sites	Source data ID	Source change	 Source change pval	Target data ID	Target change	Target change pval
MED29	upregulates-expression	FABP4		MED29-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED28	upregulates-expression	FABP4		MED28-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED27	upregulates-expression	FABP4		MED27-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED26	upregulates-expression	FABP4		MED26-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED25	upregulates-expression	FABP4		MED25-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED24	upregulates-expression	FABP4		MED24-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED23	upregulates-expression	FABP4		MED23-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED22	upregulates-expression	FABP4		MED22-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED21	upregulates-expression	FABP4		MED21-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED20	upregulates-expression	FABP4		MED20-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED19	upregulates-expression	FABP4		MED19-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED18	upregulates-expression	FABP4		MED18-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED17	upregulates-expression	FABP4		MED17-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED16	upregulates-expression	FABP4		MED16-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED15	upregulates-expression	FABP4		MED15-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED14	upregulates-expression	FABP4		MED14-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED13	upregulates-expression	FABP4		MED13-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
RXRA	upregulates-expression	FABP4		RXRA-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
FOS	upregulates-expression	FABP4		FOS-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED12	upregulates-expression	FABP4		MED12-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED11	upregulates-expression	FABP4		MED11-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED10	upregulates-expression	FABP4		MED10-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
PPARGC1A	upregulates-expression	FABP4		PPARGC1A-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
NCOA2	upregulates-expression	FABP4		NCOA2-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
NCOA1	upregulates-expression	FABP4		NCOA1-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
CDK8	upregulates-expression	FABP4		CDK8-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
NCOA3	upregulates-expression	FABP4		NCOA3-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
CDK19	upregulates-expression	FABP4		CDK19-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED31	upregulates-expression	FABP4		MED31-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED30	upregulates-expression	FABP4		MED30-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
CREBBP	upregulates-expression	FABP4		CREBBP-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
PPARG	upregulates-expression	FABP4		PPARG-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
FAM120B	upregulates-expression	FABP4		FAM120B-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED13L	upregulates-expression	FABP4		MED13L-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
CCNC	upregulates-expression	FABP4		CCNC-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED8	upregulates-expression	FABP4		MED8-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED9	upregulates-expression	FABP4		MED9-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED6	upregulates-expression	FABP4		MED6-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED7	upregulates-expression	FABP4		MED7-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED4	upregulates-expression	FABP4		MED4-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
MED1	upregulates-expression	FABP4		MED1-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
THRAP3	upregulates-expression	FABP4		THRAP3-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
HELZ2	upregulates-expression	FABP4		HELZ2-active-by-network-sig	1.0		FABP4-R	6.085259247740214	0.0022761741547522
CREB3L3	upregulates-expression	CIDEC		CREB3L3-active-by-network-sig	1.0		CIDEC-R	5.1920208343652	0.0055607580818066
CDK8	upregulates-expression	CD36		CDK8-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
IL4	upregulates-expression	CD36		IL4-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
THRAP3	upregulates-expression	CD36		THRAP3-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
FAM120B	upregulates-expression	CD36		FAM120B-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
PPARGC1A	upregulates-expression	CD36		PPARGC1A-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
MED30	upregulates-expression	CD36		MED30-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
MED31	upregulates-expression	CD36		MED31-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
CREBBP	upregulates-expression	CD36		CREBBP-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
CDK19	upregulates-expression	CD36		CDK19-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
HELZ2	upregulates-expression	CD36		HELZ2-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
MED18	upregulates-expression	CD36		MED18-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
MED19	upregulates-expression	CD36		MED19-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
MED16	upregulates-expression	CD36		MED16-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
MED17	upregulates-expression	CD36		MED17-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
MED14	upregulates-expression	CD36		MED14-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
MED15	upregulates-expression	CD36		MED15-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
MED12	upregulates-expression	CD36		MED12-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
MED13	upregulates-expression	CD36		MED13-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
MED10	upregulates-expression	CD36		MED10-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
MED11	upregulates-expression	CD36		MED11-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
MED6	upregulates-expression	CD36		MED6-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
MED7	upregulates-expression	CD36		MED7-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
MED8	upregulates-expression	CD36		MED8-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
MED1	upregulates-expression	CD36		MED1-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
MED4	upregulates-expression	CD36		MED4-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
MED9	upregulates-expression	CD36		MED9-active-by-network-sig	1.0		CD36-R	5.166561581881861	0.0057041483857192
