Source	Relation	Target	Sites	Source data ID	Source change	 Source change pval	Target data ID	Target change	Target change pval
ITGAV	upregulates-expression	ILK		ITGAV-G	-13.761393574043403	1.05560808410482E-6	ILK-G	-15.291602569560885	2.28529034380687E-7
RUNX1	upregulates-expression	MYL9		RUNX1-G	-15.374823205351458	2.102805584295E-7	MYL9-G	-13.065041668789895	2.1179928877577E-6
CFB	upregulates-expression	STAT2		CFB-G	-11.076477142268748	1.54720228519224E-5	STAT2-G	-8.608138392683681	1.826135488967E-4
WT1	downregulates-expression	IGF2		WT1-G	6.983472822866555	9.270780284398E-4	IGF2-G	-11.011789241081772	1.65059565184997E-5
RUNX2	upregulates-expression	ITGBL1		RUNX2-G	-6.512036853174342	0.0014854509939959	ITGBL1-G	-11.827221266662342	7.303029713513341E-6
RUNX2	upregulates-expression	ITGA5		RUNX2-G	-6.512036853174342	0.0014854509939959	ITGA5-G	-20.182883785976696	1.71666258952325E-9
RUNX2	upregulates-expression	MMP2		RUNX2-G	-6.512036853174342	0.0014854509939959	MMP2-G	-24.482946373733185	2.3291179861671E-11
NCOA6	upregulates-expression	CPT2		NCOA6-G	6.2407160500393495	0.0019484598284744	CPT2-G	10.42667423717983	2.96314506965777E-5
NCOA6	upregulates-expression	HSF1		NCOA6-G	6.2407160500393495	0.0019484598284744	HSF1-G	6.15107621174217	0.0021311869269951
ZEB2	upregulates-expression	VIM		ZEB2-G	-5.881887627756708	0.0027895147367498	VIM-G	-14.154631005130128	7.123966377654471E-7
ZEB2	upregulates-expression	ITGA5		ZEB2-G	-5.881887627756708	0.0027895147367498	ITGA5-G	-20.182883785976696	1.71666258952325E-9
COL10A1	upregulates-expression	RUNX2		COL10A1-G	-5.772157439883331	0.0031130340801878	RUNX2-G	-6.512036853174342	0.0014854509939959
ZEB2	downregulates-expression	CDH1		ZEB2-G	-5.881887627756708	0.0027895147367498	CDH1-G	5.4843366522042984	0.0041512879138259
YY1	downregulates-expression	POSTN		YY1-G	5.323579362989081	0.0048752720888661	POSTN-G	-17.867349580484532	1.73903639433923E-8
THBS1	downregulates-expression	YY1		THBS1-G	-9.858872687138755	5.22812537976276E-5	YY1-G	5.323579362989081	0.0048752720888661
FOSL2	upregulates-expression	GJA1		FOSL2-G	-8.179267581893264	2.804072402768E-4	GJA1-G	-5.120581101382761	0.005972551228631
NOTCH3	upregulates-expression	PLXND1		NOTCH3-G	-5.034482751969249	0.0065095643054391	PLXND1-G	-7.31853002325044	6.631362900284E-4
STAT5A	upregulates-expression	CDK6		STAT5A-G	-6.314110981503597	0.0018105746796953	CDK6-G	-5.019949188223151	0.0066048623055782
JUNB	upregulates-expression	MMP2		JUNB-P-T255	2.4637165610996816	0.0851180160707705	MMP2-G	-24.482946373733185	2.3291179861671E-11
JUNB	upregulates-expression	MMP2		JUNB-G	-4.7555638256477994	0.0086036923430565	MMP2-G	-24.482946373733185	2.3291179861671E-11
JUNB	upregulates-expression	GJA1		JUNB-P-T255	2.4637165610996816	0.0851180160707705	GJA1-G	-5.120581101382761	0.005972551228631
JUNB	upregulates-expression	GJA1		JUNB-G	-4.7555638256477994	0.0086036923430565	GJA1-G	-5.120581101382761	0.005972551228631
MAX	upregulates-expression	PTMA		MAX-G	4.599077601057448	0.0100611118247607	PTMA-G	10.165454631846641	3.84768178479018E-5
MAX	downregulates-expression	ITGB1		MAX-G	4.599077601057448	0.0100611118247607	ITGB1-G	-12.570048104721657	3.474541240719561E-6
MAX	downregulates-expression	PDGFRB		MAX-G	4.599077601057448	0.0100611118247607	PDGFRB-G	-18.801433936089484	6.833465241041061E-9
MAX	upregulates-expression	DKC1		MAX-G	4.599077601057448	0.0100611118247607	DKC1-G	6.096244907289879	0.002251305728547
MAX	downregulates-expression	LGALS1		MAX-G	4.599077601057448	0.0100611118247607	LGALS1-G	-16.606951858873625	6.13327512295196E-8
MAX	downregulates-expression	SFXN3		MAX-G	4.599077601057448	0.0100611118247607	SFXN3-G	-14.007478858998367	8.253330302806191E-7
STAT5B	upregulates-expression	CDK6		STAT5B-G	-4.526739438958004	0.0108158844935624	CDK6-G	-5.019949188223151	0.0066048623055782
MAX	upregulates-expression	SHMT1		MAX-G	4.599077601057448	0.0100611118247607	SHMT1-G	4.5017044368415275	0.0110900780825066
BAG1	upregulates-expression	BCL2L11		BAG1-G	5.188523057332192	0.0055802424297987	BCL2L11-G	4.10191102477745	0.0165410348510074
HSF1	downregulates-expression	BAG3		HSF1-G	6.15107621174217	0.0021311869269951	BAG3-G	-4.0389949879659275	0.0176151669773047
MLX	upregulates-expression	ACLY		MLX-G	-4.030592291045389	0.0177638054942693	ACLY-G	-5.861660211605087	0.0028465139421002
MAX	upregulates-expression	NDUFAF2		MAX-G	4.599077601057448	0.0100611118247607	NDUFAF2-G	3.930192496420321	0.0196398915803404
NCOR1	downregulates-expression	IGFBP3		NCOR1-G	3.903128092105608	0.0201786918123766	IGFBP3-G	-5.926806052113374	0.0026669866161445
NCOR1	downregulates-expression	S100B		NCOR1-G	3.903128092105608	0.0201786918123766	S100B-G	-6.636209351133411	0.0013119911274028
ELK1	downregulates-expression	TAGLN		ELK1-G	3.752175495376908	0.0234666387204492	TAGLN-G	-19.68163922535823	2.83382279642631E-9
TGIF2	downregulates-expression	SERPINE1		TGIF2-G	4.36450293101577	0.0127209768069959	SERPINE1-G	-3.7464885517305224	0.0236004723639204
MAX	downregulates-expression	SERPINE1		MAX-G	4.599077601057448	0.0100611118247607	SERPINE1-G	-3.7464885517305224	0.0236004723639204
NELFE	upregulates-expression	FANCD2		NELFE-G	3.9890833603907567	0.0185166794649069	FANCD2-G	3.6764866292086	0.025311748354113
NELFA	upregulates-expression	FANCD2		NELFA-G	3.9020502852940653	0.0202004522685374	FANCD2-G	3.6764866292086	0.025311748354113
NELFB	upregulates-expression	FANCD2		NELFB-G	4.2710412747486695	0.013967231852865	FANCD2-G	3.6764866292086	0.025311748354113
MLX	upregulates-expression	ACACB		MLX-G	-4.030592291045389	0.0177638054942693	ACACB-G	-3.605339362842801	0.0271782199698661
RUVBL2	upregulates-expression	NCL		RUVBL2-G	3.6033460621600413	0.0272324483630796	NCL-G	4.350916714846011	0.0128949861353398
RUVBL2	upregulates-expression	PTMA		RUVBL2-G	3.6033460621600413	0.0272324483630796	PTMA-G	10.165454631846641	3.84768178479018E-5
PARP1	upregulates-expression	CDH1		PARP1-G	3.602141544527408	0.0272652700905191	CDH1-G	5.4843366522042984	0.0041512879138259
PARP1	downregulates-expression	SERPINF1		PARP1-G	3.602141544527408	0.0272652700905191	SERPINF1-G	-25.286992343175832	1.0423144567966E-11
WWTR1	upregulates-expression	SERPINE1		WWTR1-G	-3.5914175040283585	0.0275592373925085	SERPINE1-G	-3.7464885517305224	0.0236004723639204
GABPB1	upregulates-expression	TFAM		GABPB1-G	3.5914175040283585	0.0275592373925085	TFAM-G	5.926770081120391	0.0026670825520268
RFX5	downregulates-expression	COL1A2		RFX5-G	5.818278672451204	0.0029727177642546	COL1A2-G	-3.586918653996205	0.0276835015819256
JUNB	upregulates-expression	COL1A2		JUNB-P-T255	2.4637165610996816	0.0851180160707705	COL1A2-G	-3.586918653996205	0.0276835015819256
JUNB	upregulates-expression	COL1A2		JUNB-G	-4.7555638256477994	0.0086036923430565	COL1A2-G	-3.586918653996205	0.0276835015819256
FOSL2	upregulates-expression	COL1A2		FOSL2-G	-8.179267581893264	2.804072402768E-4	COL1A2-G	-3.586918653996205	0.0276835015819256
MAX	downregulates-expression	COL1A2		MAX-G	4.599077601057448	0.0100611118247607	COL1A2-G	-3.586918653996205	0.0276835015819256
SIRT1	downregulates-expression	CFH		SIRT1-G	3.4926163138177873	0.0304211766176507	CFH-G	-13.879613803141314	9.3790816003768E-7
GTF2I	upregulates-expression	SIRT1		GTF2I-G	5.613100731746011	0.0036497349453166	SIRT1-G	3.4926163138177873	0.0304211766176507
SIRT1	downregulates-expression	COL1A2		SIRT1-G	3.4926163138177873	0.0304211766176507	COL1A2-G	-3.586918653996205	0.0276835015819256
SIRT1	upregulates-expression	HSF1		SIRT1-G	3.4926163138177873	0.0304211766176507	HSF1-G	6.15107621174217	0.0021311869269951
SIRT1	downregulates-expression	COL10A1		SIRT1-G	3.4926163138177873	0.0304211766176507	COL10A1-G	-5.772157439883331	0.0031130340801878
HIC1	downregulates-expression	SIRT1		HIC1-G	-5.374358527510846	0.0046338902934854	SIRT1-G	3.4926163138177873	0.0304211766176507
FLT1	upregulates-expression	AKT3		FLT1-G	-3.4268644522409004	0.0324886509476953	AKT3-G	-9.796046412539129	5.56712661299969E-5
SP1	upregulates-expression	SIGIRR		SP1-G	3.4112049514994873	0.0330014113087114	SIGIRR-G	7.228380186468196	7.256954028589E-4
SP1	upregulates-expression	MACROD1		SP1-G	3.4112049514994873	0.0330014113087114	MACROD1-G	7.605187885468122	4.978618717044E-4
