	fisher_odds_ratio	P.Value	frac_mut_MMRD	frac_mut_MMRP	num_mut_MMRD	num_mut_MMRP	num_WT_MMRD	num_WT_MMRP	adj.P.Val
ARID1A	8.203125	4.005769248324096e-08	25 / 24	16 / 126	25.0	16.0	24.0	126.0	8.144671415783668e-06
SETD1B	135.36	6.82704318804572e-16	24 / 25	1 / 141	24.0	1.0	25.0	141.0	2.359767477948003e-12
RPL22	inf	6.902394326105474e-19	26 / 23	0 / 142	26.0	0.0	23.0	142.0	4.771625197636714e-15
ACVR2A	67.2	7.592691278668733e-15	24 / 25	2 / 140	24.0	2.0	25.0	140.0	1.3122068702359236e-11
SLC11A2	inf	4.6176493618350304e-14	20 / 29	0 / 142	20.0	0.0	29.0	142.0	6.384362007673114e-11
RNF43	124.73076923076923	4.2121130429196886e-15	23 / 26	1 / 141	23.0	1.0	26.0	141.0	9.706112488567935e-12
CCDC168	48.275862068965516	7.491949445683551e-12	20 / 29	2 / 140	20.0	2.0	29.0	140.0	7.933783411736757e-09
TTN	16.727272727272727	9.39117296500491e-08	16 / 33	4 / 138	16.0	4.0	33.0	138.0	1.854890820202256e-05
ZFHX3	37.1875	9.370406551174692e-10	17 / 32	2 / 140	17.0	2.0	32.0	140.0	4.6269728920193323e-07
PTEN	3.167155425219941	0.003719283876150211	18 / 31	22 / 120	18.0	22.0	31.0	120.0	0.03587065855140344
INPPL1	inf	8.033629955469015e-12	17 / 32	0 / 142	17.0	0.0	32.0	142.0	7.933783411736757e-09
MBD6	inf	2.2053101838536876e-10	15 / 34	0 / 142	15.0	0.0	34.0	142.0	1.2704424417483786e-07
KLF6	22.7027027027027	1.5882279230655068e-06	12 / 37	2 / 140	12.0	2.0	37.0	140.0	0.00017708741342180401
ATM	68.36363636363636	5.957058333646249e-10	16 / 33	1 / 141	16.0	1.0	33.0	141.0	3.1677803277305014e-07
KMT2D	33.93939393939394	4.405442876154815e-09	16 / 33	2 / 140	16.0	2.0	33.0	140.0	1.4661743432134896e-06
BCAS3	45.729729729729726	2.8063446266550667e-07	12 / 37	1 / 141	12.0	1.0	37.0	141.0	4.311168978681439e-05
TNRC18	45.729729729729726	2.8063446266550667e-07	12 / 37	1 / 141	12.0	1.0	37.0	141.0	4.311168978681439e-05
KMT2B	30.88235294117647	2.009259540529197e-08	15 / 34	2 / 140	15.0	2.0	34.0	140.0	5.1444485939549405e-06
SEC31A	62.205882352941174	2.889457547708397e-09	15 / 34	1 / 141	15.0	1.0	34.0	141.0	1.1749894133710676e-06
MXRA8	inf	2.2053101838536876e-10	15 / 34	0 / 142	15.0	0.0	34.0	142.0	1.2704424417483786e-07
APC	0.7922437673130194	0.7046512789144843	11 / 38	38 / 104	11.0	38.0	38.0	104.0	0.7055698567693844
ZNF292	inf	5.514325607341346e-09	13 / 36	0 / 142	13.0	0.0	36.0	142.0	1.4661743432134896e-06
FSIP2	inf	2.667741307335594e-08	12 / 37	0 / 142	12.0	0.0	37.0	142.0	5.5885138356396855e-06
Unknown	11.18918918918919	2.070920783786161e-05	12 / 37	4 / 138	12.0	4.0	37.0	138.0	0.0010764116825799797
PHF2	inf	2.2053101838536876e-10	15 / 34	0 / 142	15.0	0.0	34.0	142.0	1.2704424417483786e-07
ZFP36L2	9.894444444444444	1.6545835478313318e-05	13 / 36	5 / 137	13.0	5.0	36.0	137.0	0.0008665254595574241
XIST	inf	2.667741307335594e-08	12 / 37	0 / 142	12.0	0.0	37.0	142.0	5.5885138356396855e-06
ZNF469	inf	5.514325607341346e-09	13 / 36	0 / 142	13.0	0.0	36.0	142.0	1.4661743432134896e-06
RAD50	inf	2.2053101838536876e-10	15 / 34	0 / 142	15.0	0.0	34.0	142.0	1.2704424417483786e-07
UQCRB	inf	5.514325607341346e-09	13 / 36	0 / 142	13.0	0.0	36.0	142.0	1.4661743432134896e-06
UPF3A	inf	2.2053101838536876e-10	15 / 34	0 / 142	15.0	0.0	34.0	142.0	1.2704424417483786e-07
CTCF	9.894444444444444	1.6545835478313318e-05	13 / 36	5 / 137	13.0	5.0	36.0	137.0	0.0008665254595574241
PRKAR1A	inf	1.1152568644060782e-09	14 / 35	0 / 142	14.0	0.0	35.0	142.0	4.818606689774512e-07
BAHCC1	inf	5.514325607341346e-09	13 / 36	0 / 142	13.0	0.0	36.0	142.0	1.4661743432134896e-06
LMAN1	inf	1.1152568644060782e-09	14 / 35	0 / 142	14.0	0.0	35.0	142.0	4.818606689774512e-07
VAPB	inf	5.514325607341346e-09	13 / 36	0 / 142	13.0	0.0	36.0	142.0	1.4661743432134896e-06
CLOCK	inf	5.514325607341346e-09	13 / 36	0 / 142	13.0	0.0	36.0	142.0	1.4661743432134896e-06
TBC1D23	inf	5.514325607341346e-09	13 / 36	0 / 142	13.0	0.0	36.0	142.0	1.4661743432134896e-06
MFSD4B	inf	2.667741307335594e-08	12 / 37	0 / 142	12.0	0.0	37.0	142.0	5.5885138356396855e-06
DCAF17	inf	2.667741307335594e-08	12 / 37	0 / 142	12.0	0.0	37.0	142.0	5.5885138356396855e-06
ESRP1	inf	2.667741307335594e-08	12 / 37	0 / 142	12.0	0.0	37.0	142.0	5.5885138356396855e-06
KMT2C	inf	1.263666935053826e-07	11 / 38	0 / 142	11.0	0.0	38.0	142.0	2.1306657370797803e-05
DST	inf	2.667741307335594e-08	12 / 37	0 / 142	12.0	0.0	37.0	142.0	5.5885138356396855e-06
NDUFC2	inf	5.514325607341346e-09	13 / 36	0 / 142	13.0	0.0	36.0	142.0	1.4661743432134896e-06
SNHG14	36.15384615384615	5.187514776977366e-06	10 / 39	1 / 141	10.0	1.0	39.0	141.0	0.00042692011491957777
MIDEAS	45.729729729729726	2.8063446266550667e-07	12 / 37	1 / 141	12.0	1.0	37.0	141.0	4.311168978681439e-05
ARL13B	inf	1.263666935053826e-07	11 / 38	0 / 142	11.0	0.0	38.0	142.0	2.1306657370797803e-05
GPR68	inf	1.263666935053826e-07	11 / 38	0 / 142	11.0	0.0	38.0	142.0	2.1306657370797803e-05
SYNE2	inf	5.864710647299718e-07	10 / 39	0 / 142	10.0	0.0	39.0	142.0	6.646351590948025e-05
HAND2	inf	5.864710647299718e-07	10 / 39	0 / 142	10.0	0.0	39.0	142.0	6.646351590948025e-05
SPEG	inf	1.263666935053826e-07	11 / 38	0 / 142	11.0	0.0	38.0	142.0	2.1306657370797803e-05
BMPR2	inf	5.864710647299718e-07	10 / 39	0 / 142	10.0	0.0	39.0	142.0	6.646351590948025e-05
YLPM1	45.729729729729726	2.8063446266550667e-07	12 / 37	1 / 141	12.0	1.0	37.0	141.0	4.311168978681439e-05
JAK1	inf	1.263666935053826e-07	11 / 38	0 / 142	11.0	0.0	38.0	142.0	2.1306657370797803e-05
MALAT1	20.263157894736842	6.405677514013071e-06	11 / 38	2 / 140	11.0	2.0	38.0	140.0	0.0005209699841690866
PIK3R1	1.456578947368421	0.48203372294268604	9 / 40	19 / 123	9.0	19.0	40.0	123.0	0.48301190414593254
DOCK3	36.15384615384615	5.187514776977366e-06	10 / 39	1 / 141	10.0	1.0	39.0	141.0	0.00042692011491957777
COBLL1	inf	5.864710647299718e-07	10 / 39	0 / 142	10.0	0.0	39.0	142.0	6.646351590948025e-05
NBEAL1	inf	2.6684433445220216e-06	9 / 40	0 / 142	9.0	0.0	40.0	142.0	0.00023350568152760422
LIMCH1	inf	1.263666935053826e-07	11 / 38	0 / 142	11.0	0.0	38.0	142.0	2.1306657370797803e-05
CCDC73	36.15384615384615	5.187514776977366e-06	10 / 39	1 / 141	10.0	1.0	39.0	141.0	0.00042692011491957777
CASP8	inf	2.6684433445220216e-06	9 / 40	0 / 142	9.0	0.0	40.0	142.0	0.00023350568152760422
SCAF4	36.15384615384615	5.187514776977366e-06	10 / 39	1 / 141	10.0	1.0	39.0	141.0	0.00042692011491957777
SHPRH	inf	2.6684433445220216e-06	9 / 40	0 / 142	9.0	0.0	40.0	142.0	0.00023350568152760422
PCLO	31.725	2.1406193862644062e-05	9 / 40	1 / 141	9.0	1.0	40.0	141.0	0.0010801534173172146
FOXP1	inf	5.864710647299718e-07	10 / 39	0 / 142	10.0	0.0	39.0	142.0	6.646351590948025e-05
CHD1	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
TOPAZ1	inf	2.6684433445220216e-06	9 / 40	0 / 142	9.0	0.0	40.0	142.0	0.00023350568152760422
PDS5B	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
MSH3	36.15384615384615	5.187514776977366e-06	10 / 39	1 / 141	10.0	1.0	39.0	141.0	0.00042692011491957777
MAGEL2	inf	5.864710647299718e-07	10 / 39	0 / 142	10.0	0.0	39.0	142.0	6.646351590948025e-05
CEP290	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
ADNP	13.658536585365853	0.00034360409911329	8 / 41	2 / 140	8.0	2.0	41.0	140.0	0.008024780868818155
GLYR1	inf	5.864710647299718e-07	10 / 39	0 / 142	10.0	0.0	39.0	142.0	6.646351590948025e-05
DNAH5	inf	5.864710647299718e-07	10 / 39	0 / 142	10.0	0.0	39.0	142.0	6.646351590948025e-05
POLD1	inf	2.6684433445220216e-06	9 / 40	0 / 142	9.0	0.0	40.0	142.0	0.00023350568152760422
PAPPA2	inf	5.864710647299718e-07	10 / 39	0 / 142	10.0	0.0	39.0	142.0	6.646351590948025e-05
RHOBTB3	inf	5.864710647299718e-07	10 / 39	0 / 142	10.0	0.0	39.0	142.0	6.646351590948025e-05
CHD3	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
TEAD2	inf	5.864710647299718e-07	10 / 39	0 / 142	10.0	0.0	39.0	142.0	6.646351590948025e-05
PXDN	inf	5.864710647299718e-07	10 / 39	0 / 142	10.0	0.0	39.0	142.0	6.646351590948025e-05
PNISR	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
NDUFAF5	inf	5.864710647299718e-07	10 / 39	0 / 142	10.0	0.0	39.0	142.0	6.646351590948025e-05
TSIX	inf	5.864710647299718e-07	10 / 39	0 / 142	10.0	0.0	39.0	142.0	6.646351590948025e-05
PRDM2	inf	2.6684433445220216e-06	9 / 40	0 / 142	9.0	0.0	40.0	142.0	0.00023350568152760422
CFAP65	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
ZCCHC24	inf	5.864710647299718e-07	10 / 39	0 / 142	10.0	0.0	39.0	142.0	6.646351590948025e-05
TNKS2	inf	5.864710647299718e-07	10 / 39	0 / 142	10.0	0.0	39.0	142.0	6.646351590948025e-05
ARID1B	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
